id,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
1249,Frames of reference and mental imagery,0,"Hinton, Geoffrey E and Parsons, Lawrence M",261--277,1981,0,article,"Lawrence Erlbaum Associates, Inc Hillsdale, NJ",Attention and performance IX,0,
1250,Rate-coded restricted Boltzmann machines for face recognition,0,"Teh, Yee Whye and Hinton, Geoffrey E",908--914,2001,0,article,MIT; 1998,Advances in neural information processing systems,0,
1251,Energy-based models for sparse overcomplete representations,0,"Teh, Yee Whye and Welling, Max and Osindero, Simon and Hinton, Geoffrey E",1235--1260,2003,0,article,JMLR. org,The Journal of Machine Learning Research,0,4
1252,A better way to pretrain deep Boltzmann machines,Advances in Neural Information Processing Systems,"Hinton, Geoffrey E and Salakhutdinov, Ruslan R",2447--2455,2012,0,inproceedings,0,0,0,
1253,Recognizing handwritten digits using mixtures of linear models,0,"Hinton, Geoffrey E and Revow, Michael and Dayan, Peter",1015--1022,1995,0,article,Citeseer,Advances in neural information processing systems,0,
1254,Learning in parallel networks,0,"Hinton, Geoffrey E",265--273,1985,0,article,McGraw-Hill,Byte,4,10
1255,Learning a better representation of speech soundwaves using restricted boltzmann machines,"Acoustics, Speech and Signal Processing (ICASSP), 2011 IEEE International Conference on","Jaitly, Navdeep and Hinton, Geoffrey",5884--5887,2011,IEEE,inproceedings,0,0,0,
1256,Learning mixture models of spatial coherence,0,"Becker, Suzanna and Hinton, Geoffrey E",267--277,1993,0,article,0,Neural Computation,2,5
1257,Learning sets of filters using back-propagation,0,"Plaut, David C and Hinton, Geoffrey E",35--61,1987,0,article,Elsevier,Computer Speech \& Language,1,2
1258,Learning symmetry groups with hidden units: Beyond the perceptron,0,"Sejnowski, Terrence J and Kienker, Paul K and Hinton, Geoffrey E",260--275,1986,0,article,North-Holland,Physica D: Nonlinear Phenomena,1,22
1259,Mean field networks that learn to discriminate temporally distorted strings,0,"Williams, Christopher KI and Hinton, Geoffrey E",18--22,1991,0,article,0,Connectionist models: Proceedings of the 1990 summer school,0,
1260,Split and merge EM algorithm for improving Gaussian mixture density estimates,0,"Ueda, Naonori and Nakano, Ryohei and Ghahramani, Zoubin and Hinton, Geoffrey E",133--140,2000,0,article,Kluwer Academic Publishers,"Journal of VLSI signal processing systems for signal, image and video technology",02-Jan,26
1261,Learning representations by recirculation,0,"Hinton, Geoffrey E and McClelland, James L",358--366,1988,0,article,New York: American Institute of Physics,Neural information processing systems,0,
1262,Building adaptive interfaces with neural networks: The glove-talk pilot study,Proceedings of the IFIP TC13 Third Interational Conference on Human-Computer Interaction,"Fels, Sidney and Hinton, Geoffrey E",683--688,1990,North-Holland Publishing Co.,inproceedings,0,0,0,
1263,Generating more realistic images using gated mrf’s,0,"Ranzato, M and Mnih, Volodymyr and Hinton, GE",2859--2860,2010,0,article,0,NIPS,0,2858
1264,Automatic recognition of sheet music.,0,"Pruslin, Dennis Howard and Read, Gardner and Prerau, D and Hastings, WK and Mahoney, JV and Widrow, Bernard and Hoff, Marcian E and Rumelhart, DE and Hinton, GE and Williams, RJ and others",15--27,1966,0,article,"{Taplinger$\}$}, }","{Biometrika$\}$}, volume={21}",0,
1265,Deep belief networks,0,"Hinton, Geoffrey E",5947,2009,0,article,0,Scholarpedia,5,4
1266,Implicit mixtures of restricted Boltzmann machines,Advances in neural information processing systems,"Nair, Vinod and Hinton, Geoffrey E",1145--1152,2009,0,inproceedings,0,0,0,
1267,Glove-TalkII: an adaptive gesture-to-formant interface,Proceedings of the SIGCHI conference on Human factors in computing systems,"Fels, Sidney and Hinton, Geoffrey",456--463,1995,ACM Press/Addison-Wesley Publishing Co.,inproceedings,0,0,0,
1268,A soft decision-directed LMS algorithm for blind equalization,0,"Nowlan, Steven J and Hinton, Geoffrey E",275--279,1993,0,article,IEEE,IEEE Transactions on Communications,2,41
1269,"In Rumelhart, DE, McClelland, JL and the PDP Research Group",0,"Rumelhart, DE and Hinton, GE and Williams, RJ",318--362,1986,0,article,0,Parallel Distributed Processing: Explorations in the Microstructure of Cognition,0,
1270,Modeling documents with deep boltzmann machines,0,"Srivastava, Nitish and Salakhutdinov, Ruslan R and Hinton, Geoffrey E",0,2013,0,article,0,arXiv preprint arXiv:1309.6865,0,
1271,Variational learning in nonlinear Gaussian belief networks,0,"Frey, Brendan J and Hinton, Geoffrey E",193--213,1999,0,article,0,Neural Computation,1,11
1272,Analysing cooperative computation,0,"Hinton, GE and Sejnowski, TJ",0,1983,0,article,0,Proceedings of the fifth annual conference of the cognitive science society,0,
1273,Solving random-dot stereograms using the heat equation,0,"Szeliski, Richard and Hinton, Geoffrey",0,1985,0,book,CVPR,0,0,
1274,Reinforcement learning with factored states and actions,0,"Sallans, Brian and Hinton, Geoffrey E",1063--1088,2004,0,article,JMLR. org,The Journal of Machine Learning Research,0,5
1275,Adaptive elastic models for hand-printed character recognition,0,"Hinton, Geoffrey E and Williams, Christopher KI and Revow, Michael D",512--519,1991,0,article,0,NIPS,0,4
1276,Separating figure from ground with a parallel network,0,"Kienker, Paul K and Sejnowski, Terrence J and Hinton, Geoffrey E and Schumacher, Lee E",197--216,1986,0,article,0,Perception,2,15
1277,A new learning algorithm for mean field Boltzmann machines,Artificial Neural Networks—ICANN 2002,"Welling, Max and Hinton, Geoffrey E",351--357,2002,0,incollection,Springer Berlin Heidelberg,0,0,
1278,Binary coding of speech spectrograms using a deep auto-encoder.,Interspeech,"Deng, Li and Seltzer, Michael L and Yu, Dong and Acero, Alex and Mohamed, Abdel-rahman and Hinton, Geoffrey E",1692--1695,2010,0,inproceedings,0,0,0,
1279,Phone recognition using restricted boltzmann machines,"Acoustics Speech and Signal Processing (ICASSP), 2010 IEEE International Conference on","Mohamed, Abdel-rahman and Hinton, Geoffrey",4354--4357,2010,IEEE,inproceedings,0,0,0,
1280,Unsupervised learning of image transformations,"Computer Vision and Pattern Recognition, 2007. CVPR'07. IEEE Conference on","Memisevic, Roland and Hinton, Geoffrey",1--8,2007,IEEE,inproceedings,0,0,0,
1281,A modified gating network for the mixtures of experts architecture,0,"Xu, L and Jordan, MI and Hinton, GE",405--410,1994,0,article,0,"World Congress on Neural Networks II, San Diego CA, June",0,
1282,New types of deep neural network learning for speech recognition and related applications: An overview,"Acoustics, Speech and Signal Processing (ICASSP), 2013 IEEE International Conference on","Deng, Li and Hinton, Geoffrey and Kingsbury, Brian",8599--8603,2013,IEEE,inproceedings,0,0,0,
1283,Generating facial expressions with deep belief nets,0,"Susskind, Joshua M and Anderson, Adam K and Hinton, Geoffrey E and Movellan, Javier R",0,2008,0,book,INTECH Open Access Publisher,0,0,
1284,Spatial Coherence as an Internal Teacher for a Neural Network,0,"Hinton, Geoffrey E",313,1995,0,article,Lawrence Erlbaum,"Backpropagation: theory, architectures, and applications",0,
1285,A desktop input device and interface for interactive 3d character animation,0,"Oore, Sageev and Terzopoulos, Demetri and Hinton, Geoffrey",133--140,2002,0,article,0,Graphics Interface,0,2
1286,Evaluation of Adaptive Mixtures of Competing Experts.,0,"Nowlan, Steven J and Hinton, Geoffrey E",774--780,1990,0,article,0,NIPS,0,3
1287,On deep generative models with applications to recognition,"Computer Vision and Pattern Recognition (CVPR), 2011 IEEE Conference on","Ranzato, Marc Aurelio and Susskind, Joshua and Mnih, Volodymyr and Hinton, Geoffrey",2857--2864,2011,IEEE,inproceedings,0,0,0,
1288,Boltzmann machines,Encyclopedia of Machine Learning,"Hinton, Geoffrey",132--136,2010,0,incollection,Springer US,0,0,
1289,Understanding how deep belief networks perform acoustic modelling,"Acoustics, Speech and Signal Processing (ICASSP), 2012 IEEE International Conference on","Mohamed, Abdel-rahman and Hinton, Geoffrey and Penn, Gerald",4273--4276,2012,IEEE,inproceedings,0,0,0,
1290,An efficient learning procedure for deep Boltzmann machines,0,"Salakhutdinov, Ruslan and Hinton, Geoffrey",1967--2006,2012,0,article,"MIT Press 55 Hayward Street, Cambridge, MA 02142-1315 email: journals-info@ mit. edu",Neural computation,8,24
1291,Using fast weights to deblur old memories,0,"Hinton, Geoffrey E and Plaut, David C",177--186,1987,0,article,Erlbaum,Proceedings of the ninth annual conference of the Cognitive Science Society,0,
1292,Shape representation in parallel systems,Proceedings of the 7th international joint conference on Artificial intelligence-Volume 2,"Hinton, Geoffrey E",1088--1096,1981,Morgan Kaufmann Publishers Inc.,inproceedings,0,0,0,
1293,Replicated softmax: an undirected topic model,Advances in neural information processing systems,"Hinton, Geoffrey E and Salakhutdinov, Ruslan R",1607--1614,2009,0,inproceedings,0,0,0,
1294,Visualizing similarity data with a mixture of maps,International Conference on Artificial Intelligence and Statistics,"Cook, James and Sutskever, Ilya and Mnih, Andriy and Hinton, Geoffrey E",67--74,2007,0,inproceedings,0,0,0,
1295,Does the wake-sleep algorithm produce good density estimators?,Advances in neural information processing systems,"Frey, Brendan J and Hinton, Geoffrey E and Dayan, Peter",661--670,1996,MORGAN KAUFMANN PUBLISHERS,inproceedings,0,0,0,
1296,Convolutional deep belief networks on cifar-10,0,"Krizhevsky, Alex and Hinton, G",0,2010,0,article,0,Unpublished manuscript,0,
1297,Robust boltzmann machines for recognition and denoising,"Computer Vision and Pattern Recognition (CVPR), 2012 IEEE Conference on","Tang, Yichuan and Salakhutdinov, Ruslan and Hinton, Geoffrey",2264--2271,2012,IEEE,inproceedings,0,0,0,
1298,Discovering binary codes for documents by learning deep generative models,0,"Hinton, Geoffrey and Salakhutdinov, Ruslan",74--91,2011,0,article,Blackwell Publishing Ltd,Topics in Cognitive Science,1,3
1299,Learning multilevel distributed representations for high-dimensional sequences,International Conference on Artificial Intelligence and Statistics,"Sutskever, Ilya and Hinton, Geoffrey E",548--555,2007,0,inproceedings,0,0,0,
1300,Adaptive soft weight tying using gaussian mixtures,Advances in Neural Information Processing Systems,"Nowlan, Steven J and Hinton, Geoffrey E",993--1000,1992,0,inproceedings,0,0,0,
1301,G-maximization: An unsupervised learning procedure for discovering regularities,0,"Pearlmutter, Barak A and Hinton, Geoffrey",333--338,1986,0,article,American Institute of Physics,AIP conference proceedings,0,151
1302,Two distributed-state models for generating high-dimensional time series,0,"Taylor, Graham W and Hinton, Geoffrey E and Roweis, Sam T",1025--1068,2011,0,article,JMLR. org,The Journal of Machine Learning Research,0,12
1303,"Deep, narrow sigmoid belief networks are universal approximators",0,"Sutskever, Ilya and Hinton, Geoffrey E",2629--2636,2008,0,article,0,Neural Computation,11,20
1304,A mobile robot that learns its place,0,"Oore, Sageev and Hinton, Geoffrey E and Dudek, Gregory",683--699,1997,0,article,0,Neural Computation,3,9
1305,Using expectation-maximization for reinforcement learning,0,"Dayan, Peter and Hinton, Geoffrey E",271--278,1997,0,article,0,Neural Computation,2,9
1306,Learning population codes by minimizing description length,0,"Zemel, Richard S and Hinton, Geoffrey E",549--564,1995,0,article,0,Neural computation,3,7
1307,Distinguishing text from graphics in on-line handwritten ink,null,"Bishop, Christopher M and Svensen, Markus and Hinton, Geoffrey E",142--147,2004,IEEE,inproceedings,0,0,0,
1308,Factored 3-way restricted boltzmann machines for modeling natural images,International Conference on Artificial Intelligence and Statistics,"Krizhevsky, Alex and Hinton, Geoffrey E and others",621--628,2010,0,inproceedings,0,0,0,
1309,"h Williams, R.(1986). Learning internal representations by error propagation",0,"Rumelhart, D and Hinton, G",0,6,0,article,0,DE Rumelhan,0,8
1310,Deep learning,0,"LeCun, Yann and Bengio, Yoshua and Hinton, Geoffrey",436--444,2015,0,article,Nature Publishing Group,Nature,7553,521
1311,Separating figure from ground with a Boltzmann machine,"In MA Arbib \& A. Hanson (Eds.), Vision, brain, and","Sejnowski, Terrence J and Hinton, Geoffrey E",0,1987,0,inproceedings,0,0,0,
1312,The DELVE manual,0,"Rasmussen, Carl E and Neal, Radford M and Hinton, Geoffrey E and van Camp, Drew and Revow, Michael and Ghahramani, Zoubin and Kustra, R and Tibshirani, R",0,1996,0,article,0,URL http://www. cs. toronto. edu/\~{} delve,0,
1313,Evaluating the interface of a document processor: a comparison of expert judgement and user observation,0,"Hammond, N and Hinton, G and Barnard, P and MacLean, A and Long, J and Whitefield, A",0,1984,0,article,0,Human-Computer Interaction-INTERACT,0,84
1314,Varieties of Helmholtz machine,0,"Dayan, Peter and Hinton, Geoffrey E",1385--1403,1996,0,article,Elsevier,Neural Networks,8,9
1315,Topographic product models applied to natural scene statistics,0,"Osindero, Simon and Welling, Max and Hinton, Geoffrey E",381--414,2006,0,article,0,Neural Computation,2,18
1316,Modeling image patches with a directed hierarchy of Markov random fields,Advances in neural information processing systems,"Osindero, Simon and Hinton, Geoffrey E",1121--1128,2008,0,inproceedings,0,0,0,
1317,Dynamical binary latent variable models for 3d human pose tracking,"Computer Vision and Pattern Recognition (CVPR), 2010 IEEE Conference on","Taylor, Graham W and Sigal, Leonid and Fleet, David J and Hinton, Geoffrey E",631--638,2010,IEEE,inproceedings,0,0,0,
1318,Using very deep autoencoders for content-based image retrieval.,ESANN,"Krizhevsky, Alex and Hinton, Geoffrey E",0,2011,0,inproceedings,0,0,0,
1319,Using deep belief nets to learn covariance kernels for Gaussian processes,Advances in neural information processing systems,"Hinton, Geoffrey E and Salakhutdinov, Ruslan R",1249--1256,2008,0,inproceedings,0,0,0,
1320,Learning to combine foveal glimpses with a third-order Boltzmann machine,Advances in Neural Information Processing Systems 23,"Larochelle, Hugo and Hinton, Geoffrey",0,2010,0,inproceedings,0,0,0,1
1321,GTM through time,0,"Bishop, Christopher M and Hinton, Geoffrey E and Strachan, Iain GD",0,1997,0,article,IET Digital Library,0,0,
1322,Distilling the knowledge in a neural network,0,"Hinton, Geoffrey and Vinyals, Oriol and Dean, Jeff",0,2015,0,article,0,arXiv preprint arXiv:1503.02531,0,
1323,Learning to represent visual input,0,"Hinton, Geoffrey E",177--184,2010,0,article,The Royal Society,Philosophical Transactions of the Royal Society B: Biological Sciences,1537,365
1324,Relaxation and its role in vision,0,"Hinton, Geoffrey Everest",0,1978,0,phdthesis,0,0,0,
1325,Learning to detect roads in high-resolution aerial images,Computer Vision--ECCV 2010,"Mnih, Volodymyr and Hinton, Geoffrey E",210--223,2010,0,incollection,Springer Berlin Heidelberg,0,0,
1326,Discovering viewpoint-invariant relationships that characterize objects,Advances in neural information processing systems,"Zemel, Richard S and Hinton, Geoffrey E",299--305,1991,0,inproceedings,0,0,0,
1327,Conditional Restricted Boltzmann Machines for Structured Output Prediction,Proc. Uncertainty in Artificial Intelligence,"Mnih, Volodymyr and Larochelle, Hugo and Hinton, Geoffrey E",0,2011,0,inproceedings,0,0,0,
1328,Shape recognition and illusory conjunctions.,IJCAI,"Hinton, Geoffrey E and Lang, Kevin J",252--259,1985,0,inproceedings,0,0,0,
1329,Inferring motor programs from images of handwritten digits,Advances in neural information processing systems,"Nair, Vinod and Hinton, Geoffrey E",515--522,2005,0,inproceedings,0,0,0,
1330,A comparison of statistical learning methods on the GUSTO database,0,"Ennis, Marguerite and Hinton, Geoffrey and Naylor, David and Revow, Mike and Tibshirani, Robert",2501--2508,1998,0,article,0,Statistics in medicine,21,17
1331,Modeling the joint density of two images under a variety of transformations,"Computer Vision and Pattern Recognition (CVPR), 2011 IEEE Conference on","Susskind, Joshua and Memisevic, Roland and Hinton, Geoffrey and Pollefeys, Marc",2793--2800,2011,IEEE,inproceedings,0,0,0,
1332,Scene-based and viewer-centered representations for comparing shapes,0,"Hinton, Geoffrey E and Parsons, Lawrence M",1--35,1988,0,article,Elsevier,Cognition,1,30
1333,Switching state-space models,0,"Ghahramani, Zoubin and Hinton, Geoffrey E",0,1996,0,techreport,0,0,0,
1334,Phoneme recognition using time-delay neural networks (Technical Report TR-I-0006),0,"Waibel, A and Hanazawa, T and Hinton, G and Shikano, K and Lang, K",0,1987,0,article,0,Japan: Advanced Telecommunications Research Institute,0,
1335,Error Propagation,0,"Rummelhart, DE and Hinton, GE and By, RJ Williams Learning Internal Representations",0,0,0,article,0,Parallel Distributed Processing,0,
1336,How neural networks learn from experience,0,"Hinton, Geoffrey E and Polk, TA and Seifert, C",181--195,2002,0,article,"MIT Press Cambridge, MA",Cognitive Modeling,0,267
1337,Some computational solutions to Bernstein's problems,0,"Hinton, G",413--438,1984,0,article,0,Human Motor Actions—Bernstein Reassessed,0,
1338,Generalized Darting Monte Carlo.,AISTATS,"Sminchisescu, Cristian and Welling, Max and Hinton, G",516--523,2007,0,inproceedings,0,0,0,
1339,Leaming in-ternal representations by error propagation,0,"Rumelhart, DE and Hinton, GE and Williams, RJ",0,0,0,article,0,Parallel Distributed Processing: Explorations in the Microstructure of Cognition,0,1
1340,Grammar as a foreign language,0,"Vinyals, Oriol and Kaiser, Lukasz and Koo, Terry and Petrov, Slav and Sutskever, Ilya and Hinton, Geoffrey",0,2014,0,article,0,arXiv preprint arXiv:1412.7449,0,
1341,Autoregressive product of multi-frame predictions can improve the accuracy of hybrid models,0,"Jaitly, Navdeep and Vanhoucke, Vincent and Hinton, Geoffrey",0,2014,0,article,0,Proc. Annual Conference of International Speech Communication Association (INTERSPEECH),0,
1342,The bootstrap Widrow-Hoff rule as a cluster-formation algorithm,0,"Hinton, Geoffrey E and Nowlan, Steven J",355--362,1990,0,article,0,Neural Computation,3,2
1343,"Learning internal representations by error propagation, Neurocomputing: foundations of research",0,"Rumelhart, DE and Hinton, GE and Williams, RJ",0,1988,0,book,"MIT Press, Cambridge, MA",0,0,
1344,Novice use of an interactive graph plotting system,0,"Hammond, N and MacLean, A and Hinton, G and Long, J and Barnard, P and Clark, IA",0,1983,0,article,0,"IBM Hursley Human Factors Report\# HF083. IBM UK Laboratories Ltd., Hursley Park, Winchester, UK",0,
1345,Extracting distributed representations of concepts and relations from positive and negative propositions,"Neural Networks, 2000. IJCNN 2000, Proceedings of the IEEE-INNS-ENNS International Joint Conference on","Paccanaro, Alberto and Hinton, Geoffrey E",259--264,2000,IEEE,inproceedings,0,0,0,2
1346,Why the islands move,0,"Hutchins, Edwin and Hinton, Geoffrey E",629--632,1984,0,article,Pion Publications,Perception,5,13
1347,Unsupervised discovery of nonlinear structure using contrastive backpropagation,0,"Hinton, Geoffrey and Osindero, Simon and Welling, Max and Teh, Yee-Whye",725--731,2006,0,article,"Lawrence Erlbaum Associates, Inc.",Cognitive science,4,30
1348,Data for evaluating learning in valid experiments (delve),0,"Rasmussen, CE and Neal, RM and Hinton, G and Camp, D and Revow, M and Ghahramani, Z and Kustra, R and Tibshirani, R",0,2003,0,misc,0,0,0,
1349,Modeling pigeon behavior using a Conditional Restricted Boltzmann Machine.,ESANN,"Zeiler, Matthew D and Taylor, Graham W and Troje, Nikolaus F and Hinton, Geoffrey E",0,2009,0,inproceedings,0,0,0,
1350,Products of hidden Markov models: It takes N> 1 to tango,Proceedings of the Twenty-Fifth Conference on Uncertainty in Artificial Intelligence,"Taylor, Graham W and Hinton, Geoffrey E",522--529,2009,AUAI Press,inproceedings,0,0,0,
1351,Imagery without arrays,0,"Hinton, Geoffrey",555--556,1979,0,article,Cambridge Univ Press,Behavioral and Brain Sciences,4,2
1352,An unsupervised learning procedure that discovers surfaces in random-dot stereograms,0,"Hinton, Geoffrey E and Becker, Suzanna",218--222,1990,0,article,0,"Proceedings of the International Joint Conference on Neural Networks, Washington DC",0,
1353,"PDP: Computational models of cognition and perception, I",0,"Rumelhart, DE and Hinton, GE and Williams, RJ",319--362,1986,0,article,0,"I, chapter Learning internal representations by error propagation",0,
1354,Efficient stochastic source coding and an application to a Bayesian network source model,0,"Frey, Brendan J. and Hinton, Geoffrey E.",157--165,1997,0,article,Br Computer Soc,The Computer Journal,2 and 3,40
1355,Learning representations by back-propagation errors,0,"Ruhmelhart, DE and Hinton, GE and Wiliams, RJ",533--536,1986,0,article,0,Nature,0,323
1356,GEMINI: Gradient Estimation Through Matrix Inversion After Noise Injection.,NIPS,"LeCun, Yann and Galland, Conrad C and Hinton, Geoffrey E",141--148,1988,0,inproceedings,0,0,0,
1357,The role of spatial working memory in shape perception,0,"Hinton, GE",0,1981,0,article,0,"Third Annual Conference of the Cognitive Science Society, Berkeley",0,
1358,Improving a statistical language model through non-linear prediction,0,"Mnih, Andriy and Yuecheng, Zhang and Hinton, Geoffrey",1414--1418,2009,0,article,Elsevier,Neurocomputing,7,72
1359,"ican Society of Mechanical Engineers, ASME Press, 1992.",0,"Hanson, Steve J and Lippmann, Richard P and Rumelhart, DE and Hinton, GE and Williams, RJ",0,1994,0,article,0,0,0,
1360,Learning hierarchical structures with linear relational embedding,0,"Hinton, Alberto Paccanaro Geoffrey E",857,2002,0,article,MIT Press (MA),Advances in neural information processing systems 14: proceedings of the 2001 conference,0,
1361,A new view of ICA,0,"Hinton, Geoffrey E and Welling, Max and Teh, Yee Whye and Osindero, Simon",0,2001,0,article,0,Int. Conf. on Independent Component Analysis and Blind Source Separation,0,
1362,Wormholes improve contrastive divergence,0,"Hinton, Geoffrey and Welling, Max and Mnih, Andriy",417--424,2004,0,article,0,Advances in Neural Information Processing Systems,0,16
1363,The Helmholtz machine through time,0,"Hinton, G and Dayan, Peter and To, Ava and Neal, R",483--490,1995,0,article,0,Proceedings of the ICANN,0,
1364,A simple algorithm that discovers efficient perceptual codes,0,"Frey, Brendan J and Dayan, Peter and Hinton, Geoffrey E",296--315,1997,0,article,Cambridge University Press,Computational and psychophysical mechanisms of visual coding,0,
1365,Visualizing non-metric similarities in multiple maps,0,"Van der Maaten, Laurens and Hinton, Geoffrey",33--55,2012,0,article,Springer US,Machine learning,1,87
1366,Improving dimensionality reduction with spectral gradient descent,0,"Memisevic, Roland and Hinton, Geoffrey",702--710,2005,0,article,Pergamon,Neural networks,5,18
1367,Hierarchical non-linear factor analysis and topographic maps,0,"Ghahramani, Zoubin and Hinton, Geoffrey E",486--492,1998,0,article,MORGAN KAUFMANN PUBLISHERS,Advances in neural information processing systems,0,
1368,Discovering multiple constraints that are frequently approximately satisfied,Proceedings of the Seventeenth conference on Uncertainty in artificial intelligence,"Hinton, Geoffrey E and Teh, Yee-Whye",227--234,2001,Morgan Kaufmann Publishers Inc.,inproceedings,0,0,0,
1369,A 0.18/spl mu/m CMOS IA32 microprocessor with a 4 GHz integer execution unit,"Solid-State Circuits Conference, 2001. Digest of Technical Papers. ISSCC. 2001 IEEE International","Sager, David and Hinton, Glen and Upton, Michael and Chappell, Terry and Fletcher, Thomas D and Samaan, Samie and Murray, Robert",324--325,2001,IEEE,inproceedings,0,0,0,
1370,"Parallel Distributed Processing, DE Rumelhart and JL McClelland",0,"Rumelhart, DE and Hinton, GE and Williams, RJ",0,1986,0,book,"MIT Press, Cambridge, MA",0,0,
1371,Comparing classification methods for longitudinal fMRI studies,0,"Schmah, Tanya and Yourganov, Grigori and Zemel, Richard S and Hinton, Geoffrey E and Small, Steven L and Strother, Stephen C",2729--2762,2010,0,article,"MIT Press 238 Main St., Suite 500, Cambridge, MA 02142-1046, USA email: journals-info@ mit. edu",Neural Computation,11,22
1372,What kind of graphical model is the brain?,0,"Hinton, Geoffrey E",1765--1775,2005,0,article,0,IJCAI,0,5
1373,Neural network-based retrieval from software reuse repositories,0,"Eichmann, David and Srinivas, Kankanaha11i",215--228,1992,0,article,0,"Neural Networks and Pattern Recognition in Human Computer Interaction, R. Beale and J. Findlay, eds",0,
1374,Discovering high order features with mean field modules,Advances in neural information processing systems 2,"Galland, Conrad C and Hinton, Geoffrey E",509--515,1990,Morgan Kaufmann Publishers Inc.,inproceedings,0,0,0,
1375,Modeling natural images using gated MRFs,0,"Ranzato, Marc'Aurelio and Mnih, Volodymyr and Susskind, Joshua M and Hinton, Geoffrey E",2206--2222,2013,0,article,IEEE,"Pattern Analysis and Machine Intelligence, IEEE Transactions on",9,35
1376,Learning distributed representations of concepts using linear relational embedding,0,"Paccanaro, Alberto and Hinton, Geoffrey E",232--244,2001,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",2,13
1377,Application of deep belief networks for natural language understanding,0,"Sarikaya, Ruhi and Hinton, Geoffrey E and Deoras, Anoop",778--784,2014,0,article,IEEE,"Audio, Speech, and Language Processing, IEEE/ACM Transactions on",4,22
1378,Inferring the meaning of direct perception,0,"Hinton, Geoffrey E",387--388,1980,0,article,Cambridge Univ Press,Behavioral and Brain Sciences,3,3
1379,Introduction to the special section on deep learning for speech and language processing,0,"Yu, Dong and Hinton, Geoffrey and Morgan, Nigel and Chien, Jen-Tzung and Sagayama, Shigeki",4--6,2012,0,article,IEEE,"Audio, Speech, and Language Processing, IEEE Transactions on",1,20
1380,Instantiating deformable models with a neural net,0,"Williams, Christopher KI and Revow, Michael and Hinton, Geoffrey E",120--126,1997,0,article,Academic Press,Computer vision and image understanding,1,68
1381,Self supervised boosting,Advances in Neural Information Processing Systems,"Welling, Max and Zemel, Richard S and Hinton, Geoffrey E",665--672,2002,0,inproceedings,0,0,0,
1382,Dimensionality reduction and prior knowledge in E-set recognition,Advances in neural information processing systems,"Lang, Kevin J and Hinton, Geoffrey E",178--185,1990,0,inproceedings,0,0,0,
1383,Using relaxation to find a puppet,0,"Hinton, Geoffrey E.",148--157,1976,0,article,0,Proc. of the AISB Summer Conference,0,
1384,Learning to label aerial images from noisy data,Proceedings of the 29th International Conference on Machine Learning (ICML-12),"Mnih, Volodymyr and Hinton, Geoffrey E",567--574,2012,0,inproceedings,0,0,0,
1385,"Schemata and sequential thought processes in PDP models, Parallel distributed processing: explorations in the microstructure of cognition, vol. 2: psychological and biological models",0,"Rumlehart, DE and Smolensky, P and McClelland, JL and Hinton, GE",0,1986,0,book,"MIT Press, Cambridge, MA",0,0,
1386,Learning to Parse Images.,NIPS,"Hinton, Geoffrey E and Ghahramani, Zoubin and Teh, Yee Whye",463--469,1999,0,inproceedings,0,0,0,
1387,A mode-hopping MCMC sampler,0,"Sminchisescu, Cristian and Welling, Max and Hinton, Geoffrey",0,2003,0,techreport,0,0,0,
1388,Deep mixtures of factor analysers,0,"Tang, Yichuan and Salakhutdinov, Ruslan and Hinton, Geoffrey",0,2012,0,article,0,arXiv preprint arXiv:1206.4635,0,
1389,Where do features come from?,0,"Hinton, Geoffrey",1078--1101,2014,0,article,0,Cognitive science,6,38
1390,Phoneme recognition using time-delay neural network,0,"Hinton, G and Waibel, Alexander and others",328--339,1989,0,article,0,"IEEE transactions on acoustics, speech, and signal processing",0,37
1391,Deep belief nets,Encyclopedia of Machine Learning,"Hinton, Geoffrey",267--269,2010,0,incollection,Springer US,0,0,
1392,Gated softmax classification,Advances in Neural Information Processing Systems,"Memisevic, Roland and Zach, Christopher and Pollefeys, Marc and Hinton, Geoffrey E",1603--1611,2010,0,inproceedings,0,0,0,
1393,The ups and downs of Hebb synapses.,0,"Hinton, Geoffrey",10,2003,0,article,Canadian Psychological Association,Canadian Psychology/Psychologie canadienne,1,44
1394,Connectionist Models: Proceedings of the 1990 Summer School,0,"Touretzky, David S and Elman, Jeffrey L and Sejnowski, Terrence J",0,2014,0,book,Morgan Kaufmann,0,0,
1395,Deep belief nets for natural language call-routing,"Acoustics, Speech and Signal Processing (ICASSP), 2011 IEEE International Conference on","Sarikaya, Ruhi and Hinton, Geoffrey E and Ramabhadran, Bhuvana",5680--5683,2011,IEEE,inproceedings,0,0,0,
1396,Learning Generative Texture Models with extended Fields-of-Experts.,BMVC,"Heess, Nicolas and Williams, Christopher KI and Hinton, Geoffrey E",1--11,2009,0,inproceedings,0,0,0,
1397,Coaching variables for regression and classification,0,"Tibshirani, Robert and Hinton, Geoffrey",25--33,1998,0,article,Kluwer Academic Publishers,Statistics and Computing,1,8
1398,A better way to learn features: technical perspective,0,"Hinton, Geoffrey E",94--94,2011,0,article,ACM,Communications of the ACM,10,54
1399,Local physical models for interactive character animation,0,"Oore, Sageev and Terzopoulos, Demetri and Hinton, Geoffrey",337--346,2002,0,article,Wiley Online Library,Computer Graphics Forum,3,21
